event_time,user_host,thread_id,server_id,command_type,argument
"2021-05-06 13:46:28.635502","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.636167","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.636932","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.637490","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.638020","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.638620","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.639100","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.639853","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.640308","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.640688","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.641051","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.641582","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.642094","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.642549","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.642895","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.643291","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.643708","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.644493","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.644903","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.645314","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.645717","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.646246","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.647016","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.647739","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.648139","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.648581","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.649050","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.649974","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.650423","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.650841","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.651350","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.653741","root[root] @ localhost [127.0.0.1]",12,1,Query,...
